AÑO,MES,CONGLOME,VIVIENDA,HOGAR,CODPERSO,ACTIVIDA,UBIGEO,DOMINIO,ESTRATO,CODINFOR,PERIODO,E1,E1A1,E1B,E2,E3,E4A1,E4B1,E4A2,E4B2,E4A3,E4B3,E4A4,E4B4,E4A5,E4B5,E5,E6A,E6B,E8A,E8B,E8C,E9A,E9A1,E13A,E13B,E13C,E14T,E15,E15GG,E16T,E17T,E18,E18GG,E19T,E20T,E21,E21GG,E22T,E23ST,E23T,E24T,E25ST1,E25ST2,E25ST3,E25ST4,E25T1,E25T2,E25T3,TICUEST04,TIPOCUESTIONARIO,FACTORA07,FACTOR_P,NCONGLOME,SUB_CONGLOME
2021,06,005074,133,11,01,2,010403,7,7,01,2,3,8,4,11,1,2, ,2, ,2, ,2, ,2, ,5,7,7,1,0,0,12,0,1,0,0,240,1,24,104, , , , , , , , ,0,0, ,160,0,0,160,0,0,160,2,2,71.5138854980469,73.7377341806539,006480,00
2021,06,005074,136,11,01,1,010403,7,7,01,2,3,8,4,11,4,1,2,2, ,2, ,2, ,2, ,5,2,0,3,0,2,12,0,1,0,0,415,1,80,129, , , , , , , , ,0,0,0,366,0,0,366,0,0,366,2,2,70.2347564697266,73.6219032885215,006480,00
2021,11,005076,015,11,02,1,010401,7,7,02,4,3,8,4,10,1,2, ,2, ,2, ,2, ,2, ,2,0,2,1,0,0,2,0,1,0,0,80,1,3,20, , , , , , , , ,0,0, ,63,0,0,63,0,0,63,2,2,43.6167984008789,45.1848333714748,006501,00
2021,11,005076,016,11,01,2,010401,7,7,01,4,3,8,4,3, , , , , , , , , , , ,2,0,4,1,0,0,4,0,0,0,3, , , , , , , , ,520,2, ,296,26,26,0,0,0,224,224,0,26,198,2,2,60.8486824035645,62.7021978179619,006501,00
2021,11,005076,061,11,01,2,010401,7,7,01,4,3,8,4,3, , , , , , , , , , , ,2,10,0,1,0,0,12,0,0,0,3, , , , , , , , ,1083,2, ,624,35,35,0,0,0,459,459,0,35,424,2,2,68.6780319213867,72.1410635575999,006501,00
2021,01,005079,005,11,01,2,010401,7,8,01,4,3,2,4,11,4,2, ,2, ,2, ,2, ,2, ,5,8,0,1,0,0,5,0,1,0,0,400,2, , , , , , , , , , ,0,0, ,400,0,0,400,0,0,400,2,2,72.1156463623047,62.6406274170186,006510,00
2021,01,005079,032,11,01,1,010401,7,8,01,4,1, ,3,9,2,1,2,1,2,1,2,2, ,2, ,3,0,5,2,0,1,5,0,0,0,3, , , , , , , , ,3846,1,1125,1996,444,444,0,0,0,2975,2975,0,444,2531,2,2,72.1156463623047,62.6406274170186,006510,00
2021,01,005079,033,11,02,1,010401,7,8,02,4,3,6,3,10,3,1,2,1,2,1,2,2, ,2, ,5,0,3,2,0,1,3,0,0,2,3, , , , ,7578,1,428,6279,273,2, , ,140,140,0,0,1727,273,2000,0,140,1860,2,2,80.4466171264648,69.8731304061534,006510,00
2021,01,005079,036,11,02,1,010401,7,8,02,4,1, ,3,8,1,1,2,2, ,1,2,2, ,2, ,2,6,0,3,0,2,9,0,0,2,3, , , , ,15155,1,1159,12557,1702,2, ,1105,555,585,0,0,3757,597,4354,0,585,3769,2,2,42.7198104858398,36.6941641398167,006510,00
2021,06,005086,008,11,01,1,010205,7,7,01,3,3,8,4,3, , , , , , , , , , , ,2,4,0,1,0,0,12,0,0,2,3, , , , ,320,2, ,260,1169,2, ,526,104,104, ,0,60,643,703,0,104,599,2,2,70.2347564697266,73.6219032885215,006551,00
2021,06,005086,040,11,01,2,010205,7,7,01,3,3,8,3,9,1,2, ,2, ,2, ,2, ,2, ,5,2,0,1,0,0,12,0,0,2,3, , , , ,500,1,217,350,20,2, ,8,3,3, ,0,367,12,379,0,3,376,2,2,65.1252288818359,68.2137032693177,006551,00
2021,09,005087,099,11,01,1,010202,7,8,01,3,3,8,3,10,1,2, ,2, ,2, ,2, ,2, ,5,5,0,1,0,0,12,0,0,2,0, , , , ,2122,1,4,1516, , , , ,44,44, ,0,610,0,610,0,44,566,2,2,43.1473922729492,45.1725554608241,006564,00
2021,12,005088,016,11,01,2,010202,7,7,01,2,3,8,4,3, , , , , , , , , , , ,2,2,0,1,0,0,12,0,0,0,3, , , , , , , , ,260,2, ,108,18,18, ,0,0,152,152,0,18,134,2,2,62.6301498413086,65.6789309755191,006571,00
2021,12,005088,016,11,02,1,010202,7,7,02,2,3,8,4,5, , , , , , , , , , , ,2,0,2,2,0,1,2,0,0,0,3, , , , , , , , ,346,1,22,221,4,4,0,0,0,147,147,0,4,143,2,2,43.6167984008789,45.1848333714748,006571,00
