AÑO,MES,CONGLOME,VIVIENDA,HOGAR,CODPERSO,ACTIVIDA,UBIGEO,DOMINIO,ESTRATO,CODINFOR,PERIODO,E24A,E24B,E24C,E24D,E24E1,E24E2,E24F,E24G,E24H,E24I,TIPOCUESTIONARIO,FACTORA07,FACTOR_P,NCONGLOME,SUB_CONGLOME
2021,01,005518,118,11,01,1,040102,6,1,01,2,13,1,44,4,3,2,46,1200,2,2,2,689.651306152344,649.13210071458,042707,00
2021,01,005518,118,11,01,1,040102,6,1,01,2,14,1,37,4,1,0,46,1100,2,2,2,689.651306152344,649.13210071458,042707,00
2021,01,005518,118,11,01,1,040102,6,1,01,2,15,1,41,5,2,3,46,1100,2,2,2,689.651306152344,649.13210071458,042707,00
2021,05,005522,034,11,02,1,040102,6,1,02,1,1,1,54,4,1,6,63,0,2,1,2,246.493377685547,235.339310523131,042740,00
2021,05,005522,034,11,02,1,040102,6,1,02,1,2,1,32,6,1,0,60,0,2,1,2,246.493377685547,235.339310523131,042740,00
2021,05,005522,034,11,02,1,040102,6,1,02,1,3,1,31,6,1,0,60,0,2,1,2,246.493377685547,235.339310523131,042740,00
2021,06,005524,001,11,01,1,040110,6,1,01,1,1,2,59,4,10,0,35,0,2,1,2,493.402465820313,422.097658076935,042780,00
2021,09,005525,126,11,01,1,040110,6,1,03,1,1,2,54,3,1,1,54,0,2,1,2,235.693496704102,227.500733952901,042790,00
2021,07,005539,130,11,02,1,040112,6,1,02,1,1,1,81,3,20,0,24,0,2,1,2,190.61247253418,196.26311147144,042947,00
2021,07,005558,058,11,01,1,040129,6,1,01,4,1,2,20,4,0,1,8,800,2,2,2,20.254430770874,35.2340616736347,043181,00
2021,01,005559,171,11,01,2,040129,6,1,01,1,1,2,53,4,6,0,24,600,1,2,2,29.3150825500488,38.3571784087474,043196,00
2021,01,005559,171,11,01,2,040129,6,1,01,1,2,2,48,4,4,0,24,500,1,2,2,29.3150825500488,38.3571784087474,043196,00
2021,11,005565,062,11,01,1,040129,6,1,01,3,1,2,18,4,0,11,15,0,2,1,2,647.674621582031,590.600567309848,043258,00
