"ano","ubigeo","conglome","vivienda","hogar","codperso","dominio","estrato","sexo","p208a","estciv","lengua","ultani","razest","trabsp","catocu","tipcon","otrtra","interh","id_individuo","edad"
"2023","030604","005362","124","11","08","6","5","Mujer","19","1","1","4","1","Sí","5","7","No","Sí","030604_005362_124_11_08",19
"2023","030213","005366","055","11","03","6","4","Hombre","23","6","1","9",NA,"Sí","3","1","No","Sí","030213_005366_055_11_03",23
"2023","030213","005366","055","11","04","6","4","Hombre","21","6","1","9",NA,"No",NA,NA,NA,"Sí","030213_005366_055_11_04",21
NA,"030213","005366","073","11","04","6","4","Hombre","26","6",NA,NA,NA,NA,NA,NA,NA,NA,"030213_005366_073_11_04",26
"2023","030213","005366","091","11","01","6","4","Hombre","29","1","1","5",NA,"Sí","4","7","No","Sí","030213_005366_091_11_01",29
"2023","030213","005366","091","11","02","6","4","Mujer","19","1","1","6","5","No",NA,NA,NA,"Sí","030213_005366_091_11_02",19
"2023","030603","005395","230","11","03","6","7","Hombre","22","6","1","8","3","Sí","4","7","Sí","Sí","030603_005395_230_11_03",22
"2023","030106","005406","043","11","02","6","6","Mujer","27","5","4","7",NA,"Sí","3","5","Sí","Sí","030106_005406_043_11_02",27
"2023","030214","005423","010","11","03","6","6","Mujer","18","6","1","6","2","Sí","4","7","No","Sí","030214_005423_010_11_03",18
"2023","030214","005423","035","11","03","6","6","Hombre","18","6","4","6",NA,"No",NA,NA,NA,"Sí","030214_005423_035_11_03",18
"2023","030210","005427","068","11","01","6","7","Hombre","21","1","4","6","1","Sí","2",NA,"No","Sí","030210_005427_068_11_01",21
"2023","030210","005427","068","11","02","6","7","Mujer","21","1","1","6","1","No",NA,NA,NA,"Sí","030210_005427_068_11_02",21
"2023","030218","005457","026","11","03","6","8","Hombre","21","6","1","7","1","Sí","5","7","No","Sí","030218_005457_026_11_03",21
"2023","030218","005457","087","11","03","6","8","Mujer","24","6","1","9","6","Sí","5","7","No","Sí","030218_005457_087_11_03",24
"2023","030218","005457","087","11","04","6","8","Mujer","22","6","1","9","6","Sí","5","7","No","Sí","030218_005457_087_11_04",22
"2023","030711","005462","003","11","03","6","6","Hombre","18","6","1","6","3","Sí","5","7","No","Sí","030711_005462_003_11_03",18
"2023","030711","005462","072","11","02","6","6","Mujer","20","6","4","6","1","Sí","5","7","No","Sí","030711_005462_072_11_02",20
"2023","030504","005469","043","11","01","6","7","Hombre","27","1","1","4",NA,"Sí","4","7","Sí","Sí","030504_005469_043_11_01",27
"2023","030504","005469","043","11","02","6","7","Mujer","24","1","1","5","10","Sí","5","7","No","Sí","030504_005469_043_11_02",24
"2023","030504","005469","044","11","01","6","7","Hombre","29","1","1","6",NA,"Sí","2",NA,"Sí","Sí","030504_005469_044_11_01",29
"2023","030504","005469","044","11","02","6","7","Mujer","23","1","1","6","1","Sí","2",NA,"No","Sí","030504_005469_044_11_02",23
"2023","040104","005480","006","11","03","6","1","Hombre","25","6","4","9",NA,"No","5","7","No","Sí","040104_005480_006_11_03",25
"2023","040104","005480","006","11","04","6","1","Hombre","22","6","1","8","3","Sí","4","7","Sí","Sí","040104_005480_006_11_04",22
"2023","040104","005480","021","11","02","6","1","Hombre","18","6","4","6","3","No",NA,NA,NA,"Sí","040104_005480_021_11_02",18
"2023","040104","005480","021","11","03","6","1","Mujer","27","1","1","10",NA,"No",NA,NA,NA,"Sí","040104_005480_021_11_03",27
"2023","040104","005480","021","11","04","6","1","Hombre","26","1","4","8",NA,"Sí","4","2","No","Sí","040104_005480_021_11_04",26
"2023","040104","005480","063","11","03","6","1","Hombre","29","6","4","10",NA,"Sí","3","7","No","Sí","040104_005480_063_11_03",29
"2023","040104","005480","063","11","04","6","1","Hombre","19","6","4","7","6","No","5","7","No","Sí","040104_005480_063_11_04",19
"2023","040104","005488","025","11","05","6","1","Hombre","29","6","4","10",NA,"Sí","3","7","No","Sí","040104_005488_025_11_05",29
"2023","040104","005488","025","11","06","6","1","Hombre","20","6","4","9","6","No",NA,NA,NA,"Sí","040104_005488_025_11_06",20
"2023","040104","005488","036","11","02","6","1","Mujer","20","6","4","6","3","No",NA,NA,NA,"Sí","040104_005488_036_11_02",20
"2023","040104","005488","067","11","03","6","1","Hombre","19","6","4","6","3","Sí","3","7","No","Sí","040104_005488_067_11_03",19
"2023","040104","005488","067","11","04","6","1","Hombre","18","6","4","6","3","Sí","3","7","No","Sí","040104_005488_067_11_04",18
"2023","040103","005511","032","11","05","6","1","Mujer","29","6","1","10",NA,"Sí","3","4","No","Sí","040103_005511_032_11_05",29
"2023","040103","005511","032","11","06","6","1","Mujer","27","6","4","10",NA,"Sí","3","2","No","Sí","040103_005511_032_11_06",27
"2023","040103","005511","032","11","07","6","1","Hombre","25","6","4","9",NA,"Sí","4","2","No","Sí","040103_005511_032_11_07",25
"2023","040103","005511","032","11","08","6","1","Hombre","23","6","4","9","6","Sí","5","7","No","Sí","040103_005511_032_11_08",23
"2023","040103","005511","032","11","09","6","1","Hombre","19","6","4","9","6","Sí","4","7","No","Sí","040103_005511_032_11_09",19
"2023","040103","005511","048","11","04","6","1","Hombre","24","6","4","10","3","Sí","3","5","No","Sí","040103_005511_048_11_04",24
"2023","040103","005511","065","11","03","6","1","Mujer","22","6","4","9","6","No",NA,NA,NA,"Sí","040103_005511_065_11_03",22
"2023","040103","005511","097","11","02","6","1","Hombre","26","5","4","7",NA,"No",NA,NA,NA,"Sí","040103_005511_097_11_02",26
"2023","040102","005515","012","11","02","6","1","Hombre","24","6","4","10","2","Sí","3","2","No","Sí","040102_005515_012_11_02",24
"2023","040102","005515","030","11","03","6","1","Mujer","29","1","4","6",NA,"Sí","2",NA,"No","Sí","040102_005515_030_11_03",29
"2023","040102","005515","095","11","03","6","1","Mujer","28","6","4","9",NA,"No",NA,NA,NA,"Sí","040102_005515_095_11_03",28
